"","Bee.01.16S.repl1.R1.fastq.gz","Bee.01.16S.repl2.R1.fastq.gz","Bee.02.16S.repl1.R1.fastq.gz","Bee.02.16S.repl2.R1.fastq.gz","Bee.03.16S.repl1.R1.fastq.gz","Bee.03.16S.repl2.R1.fastq.gz","Bee.04.16S.repl1.R1.fastq.gz","Bee.04.16S.repl2.R1.fastq.gz","Bee.05.16S.repl1.R1.fastq.gz","Bee.05.16S.repl2.R1.fastq.gz","Bee.06.16S.repl1.R1.fastq.gz","Bee.06.16S.repl2.R1.fastq.gz","Bee.07.16S.repl1.R1.fastq.gz","Bee.07.16S.repl2.R1.fastq.gz","Bee.08.16S.repl1.R1.fastq.gz","Bee.08.16S.repl2.R1.fastq.gz","Bee.09.16S.repl1.R1.fastq.gz","Bee.09.16S.repl2.R1.fastq.gz","Bee.10.16S.repl1.R1.fastq.gz","Bee.10.16S.repl2.R1.fastq.gz","Bee.11.16S.repl1.R1.fastq.gz","Bee.11.16S.repl2.R1.fastq.gz","Bee.12.16S.repl1.R1.fastq.gz","Bee.12.16S.repl2.R1.fastq.gz","Bee.13.16S.repl1.R1.fastq.gz","Bee.13.16S.repl2.R1.fastq.gz","Bee.14.16S.repl1.R1.fastq.gz","Bee.14.16S.repl2.R1.fastq.gz","Bee.15.16S.repl1.R1.fastq.gz","Bee.15.16S.repl2.R1.fastq.gz","Bee.16.16S.repl1.R1.fastq.gz","Bee.16.16S.repl2.R1.fastq.gz","Bee.17.16S.repl1.R1.fastq.gz","Bee.17.16S.repl2.R1.fastq.gz","Bee.18.16S.repl1.R1.fastq.gz","Bee.18.16S.repl2.R1.fastq.gz","Bee.19.16S.repl1.R1.fastq.gz","Bee.19.16S.repl2.R1.fastq.gz","Bee.20.16S.repl1.R1.fastq.gz","Bee.20.16S.repl2.R1.fastq.gz","Bee.21.16S.repl1.R1.fastq.gz","Bee.21.16S.repl2.R1.fastq.gz","Bee.22.16S.repl1.R1.fastq.gz","Bee.22.16S.repl2.R1.fastq.gz","Bee.23.16S.repl1.R1.fastq.gz","Bee.23.16S.repl2.R1.fastq.gz","Bee.24.16S.repl1.R1.fastq.gz","Bee.24.16S.repl2.R1.fastq.gz","Bee.25.16S.repl1.R1.fastq.gz","Bee.25.16S.repl2.R1.fastq.gz","Bee.26.16S.repl1.R1.fastq.gz","Bee.26.16S.repl2.R1.fastq.gz","Bee.27.16S.repl1.R1.fastq.gz","Bee.27.16S.repl2.R1.fastq.gz","Bee.28.16S.repl1.R1.fastq.gz","Bee.28.16S.repl2.R1.fastq.gz","Bee.29.16S.repl1.R1.fastq.gz","Bee.29.16S.repl2.R1.fastq.gz","Bee.30.16S.repl1.R1.fastq.gz","Bee.30.16S.repl2.R1.fastq.gz","Bee.31.16S.repl1.R1.fastq.gz","Bee.31.16S.repl2.R1.fastq.gz","Bee.32.16S.repl1.R1.fastq.gz","Bee.32.16S.repl2.R1.fastq.gz","Bee.33.16S.repl1.R1.fastq.gz","Bee.33.16S.repl2.R1.fastq.gz","Bee.34.16S.repl1.R1.fastq.gz","Bee.34.16S.repl2.R1.fastq.gz","Bee.35.16S.repl1.R1.fastq.gz","Bee.35.16S.repl2.R1.fastq.gz","Bee.36.16S.repl1.R1.fastq.gz","Bee.36.16S.repl2.R1.fastq.gz","Bee.37.16S.repl1.R1.fastq.gz","Bee.37.16S.repl2.R1.fastq.gz","Bee.38.16S.repl1.R1.fastq.gz","Bee.38.16S.repl2.R1.fastq.gz","Bee.39.16S.repl1.R1.fastq.gz","Bee.39.16S.repl2.R1.fastq.gz","Bee.40.16S.repl1.R1.fastq.gz","Bee.40.16S.repl2.R1.fastq.gz","bact"
"ph.Proteobacteria f.Orbaceae g.Gilliamella",0.0489871086556169,0.0592933947772657,0.0897602073882048,0.0478482446206116,0.220352726535577,0.205677132889312,0.122459524629693,0.111010421386498,0.20262246412667,0.176391079071863,0.42032998730818,0.422499363705778,0.181603773584906,0.28,0.354667310711267,0.348864073931459,0.111913357400722,0.225806451612903,0.220249604499912,0.178978316795296,0.257163742690058,0.232427366447985,0.390218948229998,0.37653181131442,0.383987915407855,0.377817109144543,0.424544841537424,0.409265929698174,0.124,0.188449848024316,0.259433962264151,0.280898876404494,0.305803571428571,0.323873121869783,0.0112549240292628,0.00517576018977787,0.0241858237547893,0.0270906949352179,0.206395348837209,0.183908045977011,0.307888040712468,0.41812865497076,0.267611683848797,0.288307222009935,0.0674496644295302,0.0701149425287356,0.0949190396426577,0.13102119460501,0.140114431023522,0.147201635573729,0.263437998935604,0.235436893203884,0.247636363636364,0.221722846441948,0.240282685512367,0.276771004942339,0.0760147601476015,0.0854700854700855,0.20049504950495,0.228102189781022,0.196827978853192,0.224458204334365,0.17765801077903,0.186290936785986,0.086427051312367,0.0926618368777752,0.193082128832818,0.195592286501377,0.322239031770045,0.32421875,0.23191278493558,0.255416191562144,0.132286621012193,0.144084174361177,0.326819233736179,0.340227507755946,0.292074709742554,0.303434197886647,0.24,0.36493623599124,"ph.Proteobacteria f.Orbaceae g.Gilliamella"
"ph.Actinobacteriota f.Bifidobacteriaceae g.Bifidobacterium",0.226151012891344,0.234408602150538,0.253726506804925,0.250566251415629,0.284613825258463,0.278147795750079,0.145194626248708,0.141368373357499,0.491093518060366,0.52827213336337,0.162455290181147,0.180707559175363,0.183962264150943,0.164651162790698,0.104335225214346,0.107688358362213,0.126353790613718,0.112258064516129,0.249604499912111,0.229817469067745,0.139912280701754,0.135238987816307,0.105381624718641,0.100050360919926,0.121752265861027,0.125073746312684,0.179366149696561,0.191529002608372,0.222,0.170212765957447,0.122641509433962,0.133426966292135,0.151785714285714,0.156928213689482,0.447758394297505,0.395083027819711,0.249880268199234,0.193286219081272,0.299418604651163,0.302681992337165,0.356234096692112,0.271929824561404,0.198453608247423,0.172334734428735,0.379418344519016,0.326819923371648,0.254606365159129,0.234296724470135,0.253782581055308,0.259008433427038,0.25279403938265,0.238470873786408,0.0712727272727273,0.0865168539325843,0.145759717314488,0.191103789126853,0.0627306273062731,0.0543900543900544,0.369430693069307,0.326642335766423,0.33916226108174,0.306501547987616,0.356981871631553,0.316222391469916,0.225467013478364,0.234984809534938,0.220402706993065,0.210009182736455,0.226928895612708,0.213994565217391,0.216936460742209,0.219925883694413,0.144479706029731,0.142795791281941,0.0907688351761378,0.0847983453981386,0.113276123170116,0.106868395773295,0.218181818181818,0.14388767229164,"ph.Actinobacteriota f.Bifidobacteriaceae g.Bifidobacterium"
"ph.Proteobacteria f.Rhizobiaceae g.Bartonella",0.0685082872928177,0.0764976958525346,0.149384316267012,0.171007927519819,0.0904115142915062,0.102600697748176,0.178952807440579,0.174218396012687,0.00692726373082632,0.00450551926109484,0.0409599630783431,0.0348689233901756,0.207547169811321,0.0688372093023256,0.0489071368192247,0.0506995250930561,0.0830324909747292,0.0761290322580645,0,0,0.158187134502924,0.151358950328022,0.0810313075506446,0.0829276481450394,0.0318731117824773,0.0284365781710914,0.0509777478084963,0.0570115513600795,0.126,0.103343465045593,0.148584905660377,0.0969101123595506,0.0870535714285714,0.0851419031719533,0.274432564246858,0.29717489756308,0.00299329501915709,0.00471142520612485,0.0465116279069767,0,0.0458015267175573,0,0.04553264604811,0.0448987390141383,0.0658836689038031,0.0745210727969349,0.0773310999441653,0.111368015414258,0.115702479338843,0.115001277791975,0.0803618946248004,0.0867718446601942,0.125454545454545,0.134456928838951,0.0750883392226148,0.0609555189456343,0,0,0.0303217821782178,0.0456204379562044,0.0142334282228548,0.0278637770897833,0.221068103870652,0.234272658035034,0.115511941357295,0.11439588688946,0.354415573565043,0.33425160697888,0.0465960665658094,0.0451766304347826,0.0799471423851999,0.0785347776510832,0.252547185568732,0.240712905303844,0.12959629724865,0.12857635298173,0.0147400302877335,0.0187319884726225,0.116363636363636,0.0407059126626304,"ph.Proteobacteria f.Rhizobiaceae g.Bartonella"
"ph.Proteobacteria f.Neisseriaceae g.Snodgrassella",0.0773480662983425,0.0709677419354839,0.0265716137394686,0.00424688561721404,0.0431785931481857,0.0447193149381541,0.00551153978642783,0.00158586316266425,0.0118753092528451,0.00563189907636855,0.00519210799584631,0.00407228302367015,0.0471698113207547,0.0446511627906977,0.0706436420722135,0.0690540367090232,0.1985559566787,0.145806451612903,0.00878889084197574,0.00600269508759035,0.0469298245614035,0.0413308341143393,0.178227951708615,0.163672989759946,0.209063444108761,0.212861356932153,0.114632501685772,0.10445907340703,0.066,0.033434650455927,0.0589622641509434,0.0617977528089888,0.0580357142857143,0.123539232053422,0.009379103357719,0.00474444684062972,0.519875478927203,0.513074204946997,0.0726744186046512,0,0.0508905852417303,0.0760233918128655,0.337485681557847,0.363775315246465,0.0322147651006711,0.0459770114942529,0.0441094360692351,0.0289017341040462,0.00712015257469803,0.00868898543317148,0.0617349654071315,0.0467233009708738,0.405090909090909,0.399625468164794,0.240282685512367,0.199341021416804,0.64649446494465,0.648018648018648,0.0686881188118812,0.0875912408759124,0.0711671411142741,0.0688854489164087,0.0393924546790789,0.0408225437928408,0.182667297233389,0.192451507361533,0.0595705572729551,0.0569329660238751,0.0757942511346445,0.08203125,0.314172447968285,0.297605473204105,0.0519458827459496,0.052608975735452,0.333247621496529,0.345053429851775,0.484098939929329,0.475984630163305,0.127272727272727,0.238825196444673,"ph.Proteobacteria f.Neisseriaceae g.Snodgrassella"
"ph.Firmicutes f.Lactobacillaceae g.Lactobacillus",0.520810313075506,0.517665130568356,0.446208684381076,0.494337485843715,0.333265761200081,0.336346336822074,0.533241474336893,0.560942455822383,0.285997031172687,0.28362243748592,0.367024345217492,0.357851870705014,0.304245283018868,0.361860465116279,0.224248279193334,0.229367218585547,0.209386281588448,0.20258064516129,0.493935665319037,0.56278329045694,0.255994152046784,0.312839737582006,0.206056885614897,0.23820715125063,0.130060422960725,0.12377581120944,0.200539447066757,0.209539187678549,0.428,0.367781155015198,0.306603773584906,0.268258426966292,0.397321428571429,0.310517529215359,0.0808478709435378,0.0894975199482424,0.183189655172414,0.237338044758539,0.375,0.482758620689655,0.2264631043257,0.222222222222222,0.144616265750286,0.124761176920138,0.452908277404922,0.478352490421456,0.436627582356226,0.413102119460501,0.483280356007629,0.46920521339126,0.294837679616817,0.33495145631068,0.100727272727273,0.112734082397004,0.0803886925795053,0.0988467874794069,0.111439114391144,0.104118104118104,0.320544554455446,0.297445255474453,0.372102480683205,0.367647058823529,0.203233708966193,0.218735719725819,0.389217309056515,0.3639869128301,0.158158576322166,0.18852157943067,0.143872919818457,0.15336277173913,0.100209228058584,0.093072976054732,0.402037748454986,0.399184024049817,0.065055284134739,0.0461909686315064,0.0806663301362948,0.0764889529298751,0.174545454545455,0.211644982609816,"ph.Firmicutes f.Lactobacillaceae g.Lactobacillus"
"ph.Proteobacteria f.Acetobacteraceae g.Commensalibacter",0.058195211786372,0.0411674347158218,0.034348671419313,0.0319932049830125,0.0281775795661869,0.0325087218522042,0.0146400275576989,0.0108744902582691,0.00148441365660564,0.00157693174138319,0.00403830621899158,0,0.0754716981132075,0.08,0.197198405989615,0.194326787318701,0.270758122743682,0.23741935483871,0.0274213394269643,0.0224182285924293,0.141812865497076,0.12680412371134,0.0390832821772048,0.0386100386100386,0.123262839879154,0.132035398230089,0.0299393122049899,0.0281952552477953,0.034,0.13677811550152,0.10377358490566,0.158707865168539,0,0,0.176327143125117,0.208324347638559,0.0198754789272031,0.0244994110718492,0,0.0306513409961686,0.0127226463104326,0.0116959064327485,0.00630011454753723,0.00592281238058846,0.00212527964205817,0.00421455938697318,0.0924064768285874,0.0813102119460501,0,0.000894454382826476,0.0468334220329963,0.0576456310679612,0.0498181818181818,0.0449438202247191,0.218197879858657,0.172981878088962,0.103321033210332,0.108003108003108,0.010519801980198,0.0145985401459854,0.00650671004473363,0.00464396284829721,0.00166585007349339,0.00365575019040366,0.000709387562071412,0.00151904650619304,0.0143704570139527,0.014692378328742,0.184568835098336,0.181216032608696,0.056821935910142,0.0554446978335234,0.0167028561884082,0.020614129267769,0.0545127282077655,0.0551533953809031,0.0151438667339727,0.0184918347742555,0.123636363636364,0,"ph.Proteobacteria f.Acetobacteraceae g.Commensalibacter"
